00:00|midnight|While they were drinking at the fountain, church clocks began to strike midnight. Missis said gladly, “Oh, Pongo, it’s tomorrow! Now we shall be with our puppies today!”|The 101 Dalmatians|Dodie Smith|sfw
00:00|midnight|At midnight the entrances were thrown wide, and the rabble, surging in, occupied the quarters assigned to them, from which nothing less than an earthquake or an army with spears could have dislodged them. They dozed the night away on the benches, and breakfasted there; and there the close of the exercises found them, patient and sight-hungry as in the beginning.|Ben-Hur|Lew Wallace|sfw
00:00|midnight|“I thought you asleep,” he said, presently.<br/>“Sleep is for old people and little children, and I came out to look at my friends, the stars in the south—those now holding the curtains of midnight over the Nile. But confess yourself surprised!”|Ben-Hur|Lew Wallace|sfw
00:00|midnight|Ren said, "If you go to the football field at midnight on Halloween and say his name three times, his ghost is supposed to appear."|Copper River|William Kent Krueger|sfw
00:00|midnight|"You, Willi, my friend," said Pastor Fritz softly, "you who sit in midnight darkness at midday, is this Jesus Christ a horn of salvation, a light in your darkness?"|Bright Valley of Love|Edna Hong|sfw
00:00|midnight|You take a black cat---isn't that it?---that does not have even one white hair (you know this), and you bind his four paws, and then you take him at midnight to a crossroads and you cry out in a loud voice:|The Name of the Rose|Umberto Eco|unknown
00:00|midnight|And I was the lion you do not remember who pushed the boat in which you lay, a child near death, so that it came to the shore where a man sat, wakeful at midnight, to receive you.|The Horse and His Boy|C.S. Lewis|unknown
00:00|midnight|If Jill had been more used to adventures, she might have doubted the Owl’s word, but this never occurred to her; and in the exciting idea of a midnight escape she forgot her sleepiness.|The Silver Chair|C.S. Lewis|unknown
00:00|midnight|“And almost exactly at midnight, the Count’s patience was rewarded. For in accordance with the instructions he’d written to Richard, every telephone on the first floor of the Metropol began to ring.”|A Gentleman in Moscow|Amor Towles|unknown
00:00|midnight|“Wins Sibby damn it!” Mr. Hubert said. “Wins Sibby! What the hell else are we setting up till midnight arguing about?”|Go Down Moses|William Faulkner|nsfw
00:00|Midnight|Midnight, and there was frost on the fields and patches of black ice on a road notorious for its accidents—there were bunches of dead flowers tied to fence posts and telegraph poles, and torn gaps in hedges, like some kind of failed crop.|The Body Lies|Jo Baker|unknown
00:00|midnight|The Place St. Sulpice, so quiet and deserted, where toward midnight there came every night the woman with the busted umbrella and the crazy veil. Every night she slept there on a bench under her torn umbrella, the ribs hanging down, her dress turning green, her bony fingers and the odor of decay oozing from her body; and in the morning I’d be sitting there myself, taking a quiet snooze in the sunshine, cursing the god-damned pigeons gathering up the crumbs everywhere.|Tropic of Cancer|Henry Miller|nsfw
00:00|midnight|The house is empty, but Eugene sings as if he had for audience all the crowned heads of Europe. The garden door is open and the odor of wet leaves sops in and the rain blends with Eugene’s 𝘢𝘯𝘨𝘰𝘪𝘴𝘴𝘦 and 𝘵𝘳𝘪𝘴𝘵𝘦𝘴𝘴𝘦. At midnight, after the spectators have saturated the hall with perspiration and foul breaths, I return to sleep on a bench. The exit light, swimming in a halo of tobacco smoke, sheds a faint light on the lower corner of the asbestos curtain; I close my eyes every night on an artificial eye ...|Tropic of Cancer|Henry Miller|unknown
00:00|midnight|Trevor had on an Andy Warhol costume: blond bobbed wig, thick black glasses, tight striped shirt. My first impression of him was that he was free spirited, clever, funny. That proved to be completely inaccurate. We left the party together and walked around for hours, lied to each other about our happy lives, ate pizza at midnight, took the Staten Island Ferry back and forth and watched the sun rise.|My Year of Rest and Relaxation|Ottessa Moshfegh|unknown
00:00|midnight|J. Came to my bed at midnight, and during our athletics, my door was barged. Farcical horror! Thank God J. had locked it on her way in. The doorknob rattled, insistent knocking began. Fear can clear the mind as well as cloud it, and remembering my 𝘋𝘰𝘯 𝘑𝘶𝘢𝘯, I hid J. in a nest of coverlets and sheets in my sagging bed and left the curtain half open to show I had nothing to hide.|Cloud Atlas|David Mitchell|nsfw
00:00|midnight|It was an animal thing. A wilderness thing. Nothing about her belonged to her previous self in that moment. Above all her voice. This could have been the high shriek of a hawk, the soul-haunting howl of a wolf, the rasping cry of a red fox at midnight. It could have been any of them, but not the scream of a sixteen-year-old schoolgirl.|The Island of Missing Trees|Elif Shafak|unknown
00:00|midnight|Oliver Dubois rammed a pickup truck through his front door on a sweaty midnight in July, at the tail end of a massive block party. <br>It wasn’t his truck, and the street was closed to traffic, so the vehicle’s emergence out of darkness and slow rumble up Oak Drive scattered neighbors and guests alike into confused groups on candlelit lawns.|Behind the Lie|Emilya Naymark|unknown
00:00|Midnight|She looked at the digital display of her watch.<br>00:00:00<br>Midnight, as the clock had told her.<br>She waited for the next second to arrive, but it didn’t.|The Midnight Library|Matt Haig|unknown
00:00|midnight|Farewell, sweet playfellow: pray thou for us;<br>And good luck grant thee thy Demetrius!-<br>Keep word, Lysander: we must starve our sight<br>From lovers’ food till morrow deep midnight.|A Midsummer Night’s Dream|William Shakespeare|unknown
00:00|midnight|Here before me was a vast sweep of empty space: just the closed door and me, and only the stars sprinkled across the midnight sky to see what I did next. Did those cold, distant lights watch with any vestige of the humans they had once been, those special, chosen, favored ones who had brushed to close to the divine?|Ariadne|Jennifer Saint|unknown
00:00|midnight|Had the lure of blood and ecstasy in the midnight woods brought her sailing over the glittering blue waters? I wondered why she was here now, in the vineyard.|Ariadne|Jennifer Saint|unknown
00:00|midnight|She summoned the police and, when the men came, sympathetic, at midnight, she gave testimony. To have given a home to the wolf and succour to the rabid dog.|The Power|Naomi Alderman|unknown
00:00|midnight|One Christmas at midnight on the button, at the old place, the ward door blows open with a crash, in comes a fat man with a beard, eyes ringed red by the cold and his nose just the color of a cherry.|One Flew Over the Cuckoo’s Nest|Ken Kesey|unknown
00:00|midnight|At midnight, the lights in the café’s kitchen could be particularly harsh. Without the comfort of the daylight streaming in through the stained-glass window, everything in the room looked grim and utilitarian.|Pomegranate Soup|Marsha Mehran|unknown
00:00|midnight|Sometimes there is no darker place than our own thoughts; the moonless midnight of the mind.|Fear Nothing: A Novel|Dean Koontz|unknown
00:00|midnight|“It starts at midnight.”|Catching Fire|Suzanne Collins|unknown
00:00|midnight|Dawn seemed to follow midnight with indecent haste.|Harry Potter and the Deathly Hallows|J.K. Rowling|unknown
00:00|twelve o’clock|“I shall never forget his flying Henry’s kite for him that very windy day last Easter—and ever since his particular kindness last September twelvemonth in writing that note, at twelve o’clock at night, on purpose to assure me that there was no scarlet fever at Cobham, I have been convinced there could not be a more feeling heart nor a better man in existence.—If any body can deserve him, it must be Miss Taylor.”|Emma|Jane Austen|unknown
00:00|twelve o’clock|On the night after his ride to Lawrenceville a crowd sallied to New York in quest of adventure, and started back to Princeton about twelve o’clock in two machines. It had been a gay party and different stages of sobriety were represented.|This Side of Paradise|F. Scott Fitzgerald|unknown
00:00|midnight|As midnight was striking bronze blows upon the dusky air, Dorian Gray, dressed commonly, and with a muffler wrapped round his throat, crept quietly out of his house.|The Picture of Dorian Gray|Oscar Wilde|unknown
00:00|midnight|"But wait till I tell you," he said. "We had a midnight lunch too after all the jollification and when we sallied forth it was blue o'clock the morning after the night before." |Ulysses|James Joyce|unknown
00:00|midnight|"Midnight," you said. What is midnight to the young? And suddenly a festive blaze was flung Across five cedar trunks, snow patches showed, And a patrol car on our bumpy road Came to a crunching stop. Retake, retake!|Pale Fire|Vladimir Nabokov|unknown
00:00|12.00|That a man who could hardly see anything more than two feet away from him could be employed as a security guard suggested to me that our job was not to secure anything but to report for work every night, fill the bulky ledger with cryptic remarks like 'Patrolled perimeter 12.00 pm, No Incident' and go to the office every fortnight for our wages and listen to the talkative Ms Elgassier.|A Squatter's Tale|Ike Oguine|unknown
00:00|midnight|'Tis the year's midnight, and it is the day's, Lucy's, who scarce seven hours herself unmasks; The sun is spent, and now his flasks Send forth light squibs, no constant rays;|A Nocturnal upon St Lucy's Day|John Donne|unknown
00:00|midnight|At midnight his wife and daughter might still be bustling about, preparing holiday delicacies in the kitchen, straightening up the house, or perhaps getting their kimonos ready or arranging flowers. Oki would sit in the living room and listen to the radio. As the bells rang he would look back at the departing year. He always found it a moving experience.|Beauty and Sadness|Yasunari Kawabata|unknown
00:00|twelve|Bernardo: 'Tis now struck twelve; get thee to bed, Francisco.|Hamlet|William Shakespeare|unknown
00:00|midnight|But, odder still - Big Ben had once again struck midnight. The time outside still corresponded to that registered by the stopped gilt clock, inside. Inside and outside matched exactly, but both were badly wrong. H'm.|Nights at the Circus|Angela Carter|sfw
00:00|midnight|But in the end I understood this language. I understood it, I understood it, all wrong perhaps. That is not what matters. It told me to write the report. Does this mean I am freer now than I was? I do not know. I shall learn. Then I went back into the house and wrote, It is midnight. The rain is beating on the windows. It was not midnight. It was not raining.|Molloy|Samuel Beckett|unknown
00:00|0000h.|Cartridges not allowed after 0000h., to encourage sleep.|Infinite Jest|David Foster Wallace|unknown
00:00|0000h|Gately can hear the horns and raised voices and u-turn squeals way down below on Wash. That indicates it's around 0000h., the switching hour.|Infinite Jest|David Foster Wallace|unknown
00:00|twelve|Hamlet: What hour now? Horatio: I think it lacks of twelve. Marcellus: No, it is struck.|Hamlet|William Shakespeare|unknown
00:00|midnight|He is certain he heard footsteps: they come nearer, and then die away. The ray of light beneath his door is extinguished. It is midnight; some one has turned out the gas; the last servant has gone to bed, and he must lie all night in agony with no one to bring him any help.|Swann's Way|Marcel Proust|unknown
00:00|midnight|I am conceived to the chimes of midnight on the clock on the mantelpiece in the room across the hall. The clock once belonged to my great-grandmother (a woman called Alice) and its tired chime counts me into the world.|Behind the Scenes at the Museum|Kate Atkinson|unknown
00:00|twelve|I took her hand in mine, and bid her be composed; for a succession of shudders convulsed her frame, and she would keep straining her gaze towards the glass. 'There's nobody here!' I insisted. 'It was YOURSELF, Mrs. Linton: you knew it a while since.' 'Myself!' she gasped, 'and the clock is striking twelve! It's true, then! that's dreadful!'|Wuthering Heights|Emily Brontë|unknown
00:00|midnight|I was born in the city of Bombay . . . On the stroke of midnight, as a matter of fact. Clock-hands joined palms in respectful greeting as I came. Oh, spell it out, spell it out: at the precise instant of India's arrival at independence, I tumbled forth into the world.|Midnight's Children|Salman Rushdie|unknown
00:00|midnight|It is midnight. The rain is beating on the windows. I am calm. All is sleeping. Nevertheless I get up and go to my desk. I can't sleep.|Molloy|Samuel Beckett|unknown
00:00|midnight|Midnight had come upon the crowded city. The palace, the night-cellar, the jail, the madhouse; the chambers of birth and death, of health and sickness; the rigid face of the corpse and the calm sleep of the child - midnight was upon them all.|Oliver Twist|Charles Dickens|unknown
00:00|midnight|Once upon a midnight dreary,<br/>while I pondered weak and weary,<br/>Over many a quaint and curious volume of forgotten lore,<br/>While I nodded, nearly napping, suddenly there came a tapping,<br/>As of some one gently rapping, rapping at my chamber door.<br/>"Tis some visitor," I muttered, "tapping at my chamber door - Only this, and nothing more."|The Raven|Edgar Allan Poe|unknown
00:00|twelve|The clock striketh twelve O it strikes, it strikes! Now body, turn to air, Or Lucifer will bear thee quick to hell. O soul, be changed into little water drops, And fall into the ocean, ne'er to be found. My God, my God, look not so fierce on me!|Dr. Faustus|Christopher Marlowe|unknown
00:00|midnight|The first night, as soon as the corporal had conducted my uncle Toby up stairs, which was about 10 - Mrs. Wadman threw herself into her arm chair, and crossing her left knee with her right, which formed a resting-place for her elbow, she reclin'd her cheek upon the palm of her hand, and leaning forwards, ruminated until midnight upon both sides of the question.|The Life and Opinions of Tristram Shandy, Gentleman|Laurence Sterne|unknown
00:00|twelve o'clock|To begin my life with the beginning of my life, I record that I was born (as I have been informed an believe) on a Friday, at twelve o'clock at night. It was remarked that the clock began to strike, and I began to cry, simultaneously.|David Copperfield|Charles Dickens|unknown
00:00|midnight|We have heard the chimes at midnight.|Henry IV|William Shakespeare|unknown
00:00|midnight|It was surely midnight by now. A lone bird called, and the individual trees melted together in one forbidding and unfriendly mass. To Savonius they seemed to incarnate this dismal adventure which had been thrust on him against his will. Somewhere in this deep forest lay this demented man he was supposed to try to comfort and calm.|The Hammer of God|Bo Giertz|unknown
00:00|midnight|There was the midnight hike with the boys to the end of the promenade and the big argument about the election of a housemaster. What had become of responsibility and service? And brotherly love?|The Hammer of God|Bo Giertz|unknown
00:01|one minute past midnight|“Perhaps. But it might be wise to warn them that I felt it was my duty to inform the tax authorities of your presence in Bristol, so don’t be surprised if the police board your yacht at one minute past midnight and seize it.”|This Was a Man|Jeffrey Archer|sfw
00:01|a minute after midnight|She was wearing a watch. Not a digital one, in this life. An elegant, slender analogue one, with Roman numerals. It was about a minute after midnight. <br/>How is this happening?|The Midnight Library|Matt Haig|unknown
00:01|one minute past midnight|With the appointed execution time of one minute past midnight just seconds away, I knocked on the metal door twice. The lock turned and the door swiftly swung open.|Death at Midnight|Donald A. Cabana|unknown
00:01|One minute after midnight|And on all sides there were the clocks. Conrad noticed them immediately, at every street corner, over every archway, three quarters of the way up the sides of buildings, covering every conceivable angle of approach. Most of them were too high off the ground to be reached by anything less than a fireman's ladder and still retained their hands. All registered the same time: 12:01. Conrad looked at his wristwatch, noted that it was just 2:45.<br/>"They were driven by a master dock," Stacey told him. "When that stopped, they all ceased at the same moment. One minute after midnight, thirty-seven years ago."|Chronopolis|J.G. Ballard|unknown
00:02|two minutes past twelve|At two minutes past twelve the door opens and two men come into the lobby. One is tall with black hair combed in a 50’s pompadour. The other is short and bespectacled. Both are wearing suits.|Billy Summers|Stephen King|unknown
00:02|0.02|The time was a quarter to twelve when I reached the station, and there was a train at 0.02, arriving at Paris about half past two p. m. on the following day.|The real Life of Sebastian Knight|Vladimir Nabokov|sfw
00:02|Two minutes past midnight|Two minutes past midnight. With me in the lead the fourteen other men of Teams Yellow, White and Red moved out of the clearing and separated for points along the wall where they would cross over into the grounds.|Night of the Krait|Shashi Warrier|unknown
